target	minlen	maxlen
0	150	299
1	150	299
2	150	299
3	150	299
4	150	299
5	150	299
6	150	299
7	150	299
8	150	299
9	150	299
10	150	299
11	150	299
12	150	299
13	150	299
14	150	299
15	150	299
16	150	299
17	150	299
18	150	299
19	150	299
20	150	299
21	150	299
22	150	299
23	150	299
24	150	299
25	150	299
26	150	299
27	150	299
28	150	299
29	150	299
30	150	299
31	150	299
32	150	299
33	150	299
34	150	299
35	150	299
36	150	299
37	150	299
38	150	299
39	150	299
40	150	299
41	150	299
42	150	299
43	150	299
44	150	299
45	150	299
46	150	299
47	150	299
48	150	299
49	150	299
50	150	299
51	150	299
52	150	299
53	150	299
54	150	299
55	150	299
56	150	299
57	150	299
58	150	299
59	150	299
60	150	299
61	150	299
P1	150	299
P2	150	299
