target	status
0	R1EndsInR2
1	R1EndsInR2
2	R1EndsInR2
3	R1EndsInR2
4	R1EndsInR2
5	R1EndsInR2
6	R1EndsInR2
7	R1EndsInR2
8	R1EndsInR2
9	R1EndsInR2
10	R1EndsInR2
11	R1EndsInR2
12	R1EndsInR2
13	R1EndsInR2
14	R1EndsInR2
15	R1EndsInR2
16	R1EndsInR2
17	R1EndsInR2
18	R1EndsInR2
19	R1EndsInR2
20	R1EndsInR2
21	R1EndsInR2
22	R1EndsInR2
23	R1EndsInR2
24	R1EndsInR2
25	R1EndsInR2
26	R1EndsInR2
27	R1EndsInR2
28	R1EndsInR2
29	R1EndsInR2
30	R1EndsInR2
31	R1EndsInR2
32	R1EndsInR2
33	R1EndsInR2
34	R1EndsInR2
35	R1EndsInR2
36	R1EndsInR2
37	R1EndsInR2
38	R1EndsInR2
39	R1EndsInR2
40	R1EndsInR2
41	R1EndsInR2
42	R1EndsInR2
43	R1EndsInR2
44	R1EndsInR2
45	R1EndsInR2
46	R1EndsInR2
47	R1EndsInR2
48	R1EndsInR2
49	R1EndsInR2
50	R1EndsInR2
51	R1EndsInR2
52	R1EndsInR2
53	R1EndsInR2
54	R1EndsInR2
55	R1EndsInR2
56	R1EndsInR2
57	R1EndsInR2
58	R1EndsInR2
59	R1EndsInR2
60	R1EndsInR2
61	R1EndsInR2
P1	R1EndsInR2
P2	R1EndsInR2
