Sanger_Sample_ID,Pool,Original_well,Run,Lane,Tag,Replicate,Source_sample,Species,Conc_ng_ul,Note
GbS8814968,8010_51_e1,A1,33823,1,1,8010_51_e1_f15_un1,8010_51_e1_f15_un1,Anopheles_stephensi,0.74,"stephensi (unfed 1) 1st lysis, 0.74ng/ul"
GbS8814969,8010_51_e1,B1,33823,1,2,8010_51_e1_f15_un2,8010_51_e1_f15_un2,Anopheles_stephensi,0.57,"stephensi (unfed 2) 1st lysis, 0.57ng/ul"
GbS8814970,8010_51_e1,C1,33823,1,3,8010_51_e1_f15_un3,8010_51_e1_f15_un3,Anopheles_stephensi,0.59,"stephensi (unfed 3) 1st lysis, 0.59ng/ul"
GbS8814971,8010_51_e1,D1,33823,1,4,8010_51_e1_f15_un4,8010_51_e1_f15_un4,Anopheles_stephensi,0.52,"stephensi (unfed 4) 1st lysis, 0.52ng/ul"
GbS8814972,8010_51_e1,E1,33823,1,5,8010_51_e1_f15_un5,8010_51_e1_f15_un5,Anopheles_stephensi,0.51,"stephensi (unfed 5) 1st lysis, 0.51ng/ul"
GbS8814973,8010_51_e1,F1,33823,1,6,8010_51_e1_f15_un6,8010_51_e1_f15_un6,Anopheles_stephensi,0.64,"stephensi (unfed 6) 1st lysis, 0.64ng/ul"
GbS8814974,8010_51_e1,G1,33823,1,7,8010_51_e1_f15_un7,8010_51_e1_f15_un7,Anopheles_stephensi,0.63,"stephensi (unfed 7) 1st lysis, 0.63ng/ul"
GbS8814975,8010_51_e1,H1,33823,1,8,8010_51_e1_f15_un8,8010_51_e1_f15_un8,Anopheles_stephensi,0.58,"stephensi (unfed 8) 1st lysis, 0.58ng/ul"
GbS8814976,8010_51_e1,A2,33823,1,9,8010_51_e1_f15_1d1,8010_51_e1_f15_1d1,Anopheles_stephensi,0.97,"feed 15 - 24h 1 - 1st lysis, 0.97ng/ul"
GbS8814977,8010_51_e1,B2,33823,1,10,8010_51_e1_f15_1d2,8010_51_e1_f15_1d2,Anopheles_stephensi,1.51,"feed 15 - 24h 2 - 1st lysis, 1.51ng/ul"
GbS8814978,8010_51_e1,C2,33823,1,11,8010_51_e1_f15_1d3,8010_51_e1_f15_1d3,Anopheles_stephensi,1.03,"feed 15 - 24h 3 - 1st lysis, 1.03ng/ul"
GbS8814979,8010_51_e1,D2,33823,1,12,8010_51_e1_f15_1d4,8010_51_e1_f15_1d4,Anopheles_stephensi,1.06,"feed 15 - 24h 4 - 1st lysis, 1.06ng/ul"
GbS8814980,8010_51_e1,E2,33823,1,13,8010_51_e1_f15_1d5,8010_51_e1_f15_1d5,Anopheles_stephensi,1.04,"feed 15 - 24h 5 - 1st lysis, 1.04ng/ul"
GbS8814981,8010_51_e1,F2,33823,1,14,8010_51_e1_f15_1d6,8010_51_e1_f15_1d6,Anopheles_stephensi,0.9,"feed 15 - 24h 6 - 1st lysis, 0.90ng/ul"
GbS8814982,8010_51_e1,G2,33823,1,15,8010_51_e1_f15_1d7,8010_51_e1_f15_1d7,Anopheles_stephensi,1.07,"feed 15 - 24h 7 - 1st lysis, 1.07ng/ul"
GbS8814983,8010_51_e1,H2,33823,1,16,8010_51_e1_f15_1d8,8010_51_e1_f15_1d8,Anopheles_stephensi,0.47,"feed 15 - 24h 8 - 1st lysis, 0.47ng/ul"
GbS8814984,8010_51_e1,A3,33823,1,17,8010_51_e1_f15_1d9,8010_51_e1_f15_1d9,Anopheles_stephensi,0.88,"feed 15 - 24h 9 - 1st lysis, 0.88ng/ul"
GbS8814985,8010_51_e1,B3,33823,1,18,8010_51_e1_f15_1d10,8010_51_e1_f15_1d10,Anopheles_stephensi,0.95,"feed 15 - 24h 10 - 1st lysis, 0.95ng/ul"
GbS8814986,8010_51_e1,C3,33823,1,19,8010_51_e1_f15_1d11,8010_51_e1_f15_1d11,Anopheles_stephensi,0.52,"feed 15 - 24h 11 - 1st lysis, 0.52ng/ul"
GbS8814987,8010_51_e1,D3,33823,1,20,8010_51_e1_f15_1d12,8010_51_e1_f15_1d12,Anopheles_stephensi,0.85,"feed 15 - 24h 12 - 1st lysis, 0.85ng/ul"
GbS8814988,8010_51_e1,E3,33823,1,21,8010_51_e1_f15_1d13,8010_51_e1_f15_1d13,Anopheles_stephensi,0.54,"feed 15 - 24h 13 - 1st lysis, 0.54ng/ul"
GbS8814989,8010_51_e1,F3,33823,1,22,8010_51_e1_f15_1d14,8010_51_e1_f15_1d14,Anopheles_stephensi,0.65,"feed 15 - 24h 14 - 1st lysis, 0.65ng/ul"
GbS8814990,8010_51_e1,G3,33823,1,23,8010_51_e1_f15_1d15,8010_51_e1_f15_1d15,Anopheles_stephensi,0.9,"feed 15 - 24h 15 - 1st lysis, 0.90ng/ul"
GbS8814991,8010_51_e1,H3,33823,1,24,8010_51_e1_f15_1d16,8010_51_e1_f15_1d16,Anopheles_stephensi,1.06,"feed 15 - 24h 16 - 1st lysis, 1.06ng/ul"
GbS8814992,8010_51_e1,A4,33823,1,25,8010_51_e1_f15_8d1,8010_51_e1_f15_8d1,Anopheles_stephensi,0.47,"feed 15 - D8 1 - 1st lysis, 0.47ng/ul"
GbS8814993,8010_51_e1,B4,33823,1,26,8010_51_e1_f15_8d2,8010_51_e1_f15_8d2,Anopheles_stephensi,1.02,"feed 15 - D8 2 - 1st lysis, 1.02ng/ul"
GbS8814994,8010_51_e1,C4,33823,1,27,8010_51_e1_f15_8d3,8010_51_e1_f15_8d3,Anopheles_stephensi,0.56,"feed 15 - D8 3 - 1st lysis, 0.56ng/ul"
GbS8814995,8010_51_e1,D4,33823,1,28,8010_51_e1_f15_8d4,8010_51_e1_f15_8d4,Anopheles_stephensi,1.03,"feed 15 - D8 4 - 1st lysis, 1.03ng/ul"
GbS8814996,8010_51_e1,E4,33823,1,29,8010_51_e1_f15_8d5,8010_51_e1_f15_8d5,Anopheles_stephensi,0.77,"feed 15 - D8 5 - 1st lysis, 0.77ng/ul"
GbS8814997,8010_51_e1,F4,33823,1,30,8010_51_e1_f15_8d6,8010_51_e1_f15_8d6,Anopheles_stephensi,0.7,"feed 15 - D8 6 - 1st lysis, 0.70ng/ul"
GbS8814998,8010_51_e1,G4,33823,1,31,8010_51_e1_f15_8d7,8010_51_e1_f15_8d7,Anopheles_stephensi,0.68,"feed 15 - D8 7 - 1st lysis, 0.68ng/ul"
GbS8814999,8010_51_e1,H4,33823,1,32,8010_51_e1_f15_8d8,8010_51_e1_f15_8d8,Anopheles_stephensi,0.98,"feed 15 - D8 8 - 1st lysis, 0.98ng/ul"
GbS8815000,8010_51_e1,A5,33823,1,33,8010_51_e1_f15_8d9,8010_51_e1_f15_8d9,Anopheles_stephensi,1.33,"feed 15 - D8 9 - 1st lysis, 1.33ng/ul"
GbS8815001,8010_51_e1,B5,33823,1,34,8010_51_e1_f15_8d10,8010_51_e1_f15_8d10,Anopheles_stephensi,1.04,"feed 15 - D8 10 - 1st lysis, 1.04ng/ul"
GbS8815002,8010_51_e1,C5,33823,1,35,8010_51_e1_f15_8d11,8010_51_e1_f15_8d11,Anopheles_stephensi,0.76,"feed 15 - D8 11 - 1st lysis, 0.76ng/ul"
GbS8815003,8010_51_e1,D5,33823,1,36,8010_51_e1_f15_8d12,8010_51_e1_f15_8d12,Anopheles_stephensi,0.76,"feed 15 - D8 12 - 1st lysis, 0.76ng/ul"
GbS8815004,8010_51_e1,E5,33823,1,37,8010_51_e1_f15_8d13,8010_51_e1_f15_8d13,Anopheles_stephensi,0.69,"feed 15 - D8 13 - 1st lysis, 0.69ng/ul"
GbS8815005,8010_51_e1,F5,33823,1,38,8010_51_e1_f15_8d14,8010_51_e1_f15_8d14,Anopheles_stephensi,1.05,"feed 15 - D8 14 - 1st lysis, 1.05ng/ul"
GbS8815006,8010_51_e1,G5,33823,1,39,8010_51_e1_f15_8d15,8010_51_e1_f15_8d15,Anopheles_stephensi,0.77,"feed 15 - D8 15 - 1st lysis, 0.77ng/ul"
GbS8815007,8010_51_e1,H5,33823,1,40,8010_51_e1_f15_8d16,8010_51_e1_f15_8d16,Anopheles_stephensi,0.98,"feed 15 - D8 16 - 1st lysis, 0.98ng/ul"
GbS8815008,8010_51_e1,A6,33823,1,41,8010_51_e1_f15_13d1,8010_51_e1_f15_13d1,Anopheles_stephensi,0.71,"feed 15 - D13 1 - 1st lysis, 0.71ng/ul"
GbS8815009,8010_51_e1,B6,33823,1,42,8010_51_e1_f15_13d2,8010_51_e1_f15_13d2,Anopheles_stephensi,0.72,"feed 15 - D13 2 - 1st lysis, 0.72ng/ul"
GbS8815010,8010_51_e1,C6,33823,1,43,8010_51_e1_f15_13d3,8010_51_e1_f15_13d3,Anopheles_stephensi,0.7,"feed 15 - D13 3 - 1st lysis, 0.70ng/ul"
GbS8815011,8010_51_e1,D6,33823,1,44,8010_51_e1_f15_13d4,8010_51_e1_f15_13d4,Anopheles_stephensi,0.54,"feed 15 - D13 4 - 1st lysis, 0.54ng/ul"
GbS8815012,8010_51_e1,E6,33823,1,45,8010_51_e1_f15_13d5,8010_51_e1_f15_13d5,Anopheles_stephensi,0.5,"feed 15 - D13 5 - 1st lysis, 0.50ng/ul"
GbS8815013,8010_51_e1,F6,33823,1,46,8010_51_e1_f15_13d6,8010_51_e1_f15_13d6,Anopheles_stephensi,0.53,"feed 15 - D13 6 - 1st lysis, 0.53ng/ul"
GbS8815014,8010_51_e1,G6,33823,1,47,8010_51_e1_f15_13d7,8010_51_e1_f15_13d7,Anopheles_stephensi,0.85,"feed 15 - D13 7 - 1st lysis, 0.85ng/ul"
GbS8815015,8010_51_e1,H6,33823,1,48,8010_51_e1_f15_13d8,8010_51_e1_f15_13d8,Anopheles_stephensi,0.88,"feed 15 - D13 8 - 1st lysis, 0.88ng/ul"
GbS8815016,8010_51_e1,A7,33823,1,49,8010_51_e1_f15_14d1,8010_51_e1_f15_14d1,Anopheles_stephensi,0.67,"feed 15 - D14 1 - 1st lysis, 0.67ng/ul"
GbS8815017,8010_51_e1,B7,33823,1,50,8010_51_e1_f15_14d2,8010_51_e1_f15_14d2,Anopheles_stephensi,0.79,"feed 15 - D14 2 - 1st lysis, 0.79ng/ul"
GbS8815018,8010_51_e1,C7,33823,1,51,8010_51_e1_f15_14d3,8010_51_e1_f15_14d3,Anopheles_stephensi,0.82,"feed 15 - D14 3 - 1st lysis, 0.82ng/ul"
GbS8815019,8010_51_e1,D7,33823,1,52,8010_51_e1_f15_14d4,8010_51_e1_f15_14d4,Anopheles_stephensi,0.92,"feed 15 - D14 4 - 1st lysis, 0.92ng/ul"
GbS8815020,8010_51_e1,E7,33823,1,53,8010_51_e1_f15_14d5,8010_51_e1_f15_14d5,Anopheles_stephensi,0.72,"feed 15 - D14 5 - 1st lysis, 0.72ng/ul"
GbS8815021,8010_51_e1,F7,33823,1,54,8010_51_e1_f15_14d6,8010_51_e1_f15_14d6,Anopheles_stephensi,0.63,"feed 15 - D14 6 - 1st lysis, 0.63ng/ul"
GbS8815022,8010_51_e1,G7,33823,1,55,8010_51_e1_f15_14d7,8010_51_e1_f15_14d7,Anopheles_stephensi,0.44,"feed 15 - D14 7 - 1st lysis, 0.44ng/ul"
GbS8815023,8010_51_e1,H7,33823,1,56,8010_51_e1_f15_14d8,8010_51_e1_f15_14d8,Anopheles_stephensi,0.62,"feed 15 - D14 8 - 1st lysis, 0.62ng/ul"
GbS8815024,8010_51_e1,A8,33823,1,57,8010_51_e1_blank,8010_51_e1_blank,blank_sample,0,blank
