Sanger_Sample_Id,Supplier_sample_name,Run,Lane,Tag,Original_well,Source_sample,Species,Extraction,Conc_ng_ul,Sex,Notes,Replicate,Replicate_description
mxPCR7817208,AnophelesP2_1x_A01,28131,1,45,A1,20181218-A4-dil,Anopheles_coluzzii,buffer A,0.43,male,"buffer A male, 60ul overnight @RT, 0.43ng/ul (1:10)",20181218-A4-dil-rep1,1x mastermix
mxPCR7817209,AnophelesP2_1x_B01,28131,1,46,B1,20181218-A5-dil,Anopheles_coluzzii,buffer A,1.51,female,"buffer A female, 60ul overnight @RT, 1.51ng/ul (1:10)",20181218-A5-dil-rep1,1x mastermix
mxPCR7817210,AnophelesP2_1x_C01,28131,1,47,C1,20181218-A7-dil,Anopheles_coluzzii,buffer A,1.23,male,"buffer A male, 10ul 2h @RT, 1.23ng/ul (1:10)",20181218-A7-dil-rep1,1x mastermix
mxPCR7817211,AnophelesP2_1x_D01,28131,1,48,D1,20181218-A8-dil,Anopheles_coluzzii,buffer A,3.01,female,"buffer A female, 10ul 2h @RT, 3.01ng/ul (1:10)",20181218-A8-dil-rep1,1x mastermix
mxPCR7817212,AnophelesP2_1x_E01,28131,1,49,E1,20181218-C4-dil,Anopheles_coluzzii,buffer C,0.28,male,"buffer C male, 60ul overnight @RT, 0.28ng/ul (1:10)",20181218-C4-dil-rep1,1x mastermix
mxPCR7817213,AnophelesP2_1x_F01,28131,1,50,F1,20181218-C5-dil,Anopheles_coluzzii,buffer C,1.06,female,"buffer C female, 60ul overnight @RT, 1.06ng/ul (1:10)",20181218-C5-dil-rep1,1x mastermix
mxPCR7817214,AnophelesP2_1x_G01,28131,1,51,G1,20181218-C7-dil,Anopheles_coluzzii,buffer C,0.42,male,"buffer C male, 10ul 2h @RT, 0.42ng/ul (1:10)",20181218-C7-dil-rep1,1x mastermix
mxPCR7817215,AnophelesP2_1x_H01,28131,1,52,H1,20181218-C8-dil,Anopheles_coluzzii,buffer C,2.46,female,"buffer C female, 10ul 2h @RT, 2.46ng/ul (1:10)",20181218-C8-dil-rep1,1x mastermix
mxPCR7817216,AnophelesP2_1x_A02,28131,1,53,A2,20181218-G4-dil,Anopheles_coluzzii,buffer G,0.48,male,"buffer G male, 60ul overnight @RT, 0.48ng/ul (1:10)",20181218-G4-dil-rep1,1x mastermix
mxPCR7817217,AnophelesP2_1x_B02,28131,1,54,B2,20181218-G5-dil,Anopheles_coluzzii,buffer G,0.93,female,"buffer G female, 60ul overnight @RT, 0.93ng/ul (1:10)",20181218-G5-dil-rep1,1x mastermix
mxPCR7817218,AnophelesP2_1x_C02,28131,1,55,C2,20181218-G7-dil,Anopheles_coluzzii,buffer G,1.43,male,"buffer G male, 10ul 2h @RT, 1.43ng/ul (1:10)",20181218-G7-dil-rep1,1x mastermix
mxPCR7817219,AnophelesP2_1x_D02,28131,1,56,D2,20181218-G8-dil,Anopheles_coluzzii,buffer G,2.02,female,"buffer G female, 10ul 2h @RT, 2.02ng/ul (1:10)",20181218-G8-dil-rep1,1x mastermix
mxPCR7817220,AnophelesP2_1x_E02,28131,1,57,E2,20181218-D8-dil,Anopheles_coluzzii,buffer D,0.63,female,"buffer D female, 10ul 2h @RT, 0.63ng/ul (1:10)",20181218-D8-dil-rep1,1x mastermix
mxPCR7817221,AnophelesP2_1x_F02,28131,1,58,F2,20181218-E8-dil,Anopheles_coluzzii,buffer E,0.8,female,"buffer E female, 10ul 2h @RT, 0.80ng/ul (1:10)",20181218-E8-dil-rep1,1x mastermix
mxPCR7817222,AnophelesP2_1x_G02,28131,1,59,G2,20181218-F8-dil,Anopheles_coluzzii,buffer F,1.85,female,"buffer F female, 10ul 2h @RT, 1.85ng/ul (1:10)",20181218-F8-dil-rep1,1x mastermix
mxPCR7817223,AnophelesP2_1x_H02,28131,1,60,H2,20181218-H8-dil,Anopheles_coluzzii,water,0.04,female,"water female, 10ul 2h @RT, 0.04ng/ul (1:10)",20181218-H8-dil-rep1,1x mastermix
mxPCR7817224,AnophelesP2_1x_A03,28131,1,61,A3,20181218-C4,Anopheles_coluzzii,buffer C,3,male,"buffer C male, 60ul overnight @RT, ~3ng/ul (undil.)",20181218-C4-rep1,1x mastermix
mxPCR7817225,AnophelesP2_1x_B03,28131,1,62,B3,20181218-C5,Anopheles_coluzzii,buffer C,11,female,"buffer C female, 60ul overnight @RT, ~11ng/ul (undil.)",20181218-C5-rep1,1x mastermix
mxPCR7817226,AnophelesP2_1x_C03,28131,1,63,C3,20181218-C7,Anopheles_coluzzii,buffer C,4,male,"buffer C male, 10ul 2h @RT, ~4ng/ul (undil.)",20181218-C7-rep1,1x mastermix
mxPCR7817227,AnophelesP2_1x_D03,28131,1,64,D3,20181218-C8,Anopheles_coluzzii,buffer C,25,female,"buffer C female, 10ul 2h @RT, ~25ng/ul (undil.)",20181218-C8-rep1,1x mastermix
mxPCR7817228,AnophelesP2_1x_E03,28131,1,65,E3,20181218-G4,Anopheles_coluzzii,buffer G,5,male,"buffer G male, 60ul overnight @RT, ~5ng/ul (undil.)",20181218-G4-rep1,1x mastermix
