Sanger_Sample_Id,Mastermix_concentration,Tag1,Tag2,Run,Lane,Tag,Original_well,Source_sample,Replicate,Species,Extraction,Conc_ng_ul,Sex,Notes
mxPCR7881347,1x,1,1,28620,1,1,A1,male-RT-A-dil,male-RT-A-dil-rep1,Anopheles_coluzzii,buffer A,0.55,male,"1 (A1) - male, RT, A (1) (1:10) ~0.55ng/ul"
mxPCR7881348,1x,2,1,28620,1,2,B1,male-RT-C-dil,male-RT-C-dil-rep1,Anopheles_coluzzii,buffer C,0.16,male,"2 (B1) - male, RT, C (1) (1:10) ~0.16ng/ul"
mxPCR7881349,1x,3,1,28620,1,3,C1,male-RT-G-con,male-RT-G-con-rep1,Anopheles_coluzzii,buffer G,3.8,male,"3 (C1) - male, RT, G (1) (undil) ~3.8ng/ul"
mxPCR7881350,1x,4,1,28620,1,4,D1,male-RT-G-dil,male-RT-G-dil-rep1,Anopheles_coluzzii,buffer G,1.9,male,"3 (C1) - male, RT, G (1) (1:2) ~1.9ng/ul"
mxPCR7881351,1x,5,1,28620,1,5,E1,female-RT-A-dil,female-RT-A-dil-rep1,Anopheles_coluzzii,buffer A,0.58,female,"7 (G1) - female, RT, A (1) (1:10) ~0.58ng/ul"
mxPCR7881352,1x,6,1,28620,1,6,F1,female-RT-C-dil,female-RT-C-dil-rep1,Anopheles_coluzzii,buffer C,0.28,female,"8 (H1) - female, RT, C (1) (1:10) ~0.28ng/ul"
mxPCR7881353,1x,7,1,28620,1,7,G1,female-RT-G-con,female-RT-G-con-rep1,Anopheles_coluzzii,buffer G,5.3,female,"9 (A2)- female, RT, G (1) (undil) ~5.3ng/ul"
mxPCR7881354,1x,8,1,28620,1,8,H1,female-RT-G-dil,female-RT-G-dil-rep1,Anopheles_coluzzii,buffer G,2.6,female,"9 (A2) - female, RT, G (1) (1:2) ~2.6ng/ul"
mxPCR7881355,1x,9,1,28620,1,9,A2,EtOH-RT-A-dil,EtOH-RT-A-dil-rep1,Anopheles_coluzzii,buffer A,0.09,unknown,"13 (E2) - EtOH, RT, A (1) (1:10) ~0.09ng/ul"
mxPCR7881356,1x,10,1,28620,1,10,B2,EtOH-RT-C-dil,EtOH-RT-C-dil-rep1,Anopheles_coluzzii,buffer C,0.21,unknown,"14 (F2) - EtOH, RT, C (1) (1:10) ~0.21ng/ul"
mxPCR7881357,1x,11,1,28620,1,11,C2,EtOH-RT-G-con,EtOH-RT-G-con-rep1,Anopheles_coluzzii,buffer G,2.7,unknown,"15 (G2) - EtOH, RT, G (1) (undil) ~2.7ng/ul"
mxPCR7881358,1x,12,1,28620,1,12,D2,EtOH-RT-G-dil,EtOH-RT-G-dil-rep1,Anopheles_coluzzii,buffer G,1.3,unknown,"15 (G2) - EtOH, RT, G (1) (1:2) ~1.3ng/ul"
mxPCR7881359,1x,13,1,28620,1,13,E2,male-37C-A-dil,male-37C-A-dil-rep1,Anopheles_coluzzii,buffer A,0.52,male,"19 (C3) - male, 37C, A (1) (1:10) ~0.52ng/ul"
mxPCR7881360,1x,14,1,28620,1,14,F2,male-37C-C-dil,male-37C-C-dil-rep1,Anopheles_coluzzii,buffer C,0.24,male,"20 (D3) - male, 37C, C (1) (1:10) ~0.24ng/ul"
mxPCR7881361,1x,15,1,28620,1,15,G2,male-37C-G-con,male-37C-G-con-rep1,Anopheles_coluzzii,buffer G,2.7,male,"21 (E3) - male, 37C, G (1) (undil) ~2.7ng/ul"
mxPCR7881362,1x,16,1,28620,1,16,H2,male-37C-G-dil,male-37C-G-dil-rep1,Anopheles_coluzzii,buffer G,1.3,male,"21 (E3) - male, 37C, G (1) (1:2) ~1.3ng/ul"
mxPCR7881363,1x,17,1,28620,1,17,A3,female-37C-A-dil,female-37C-A-dil-rep1,Anopheles_coluzzii,buffer A,1.46,female,"25 (A4) - female, 37C, A (1) (1:10) ~1.46ng/ul"
