Sanger_Sample_ID,Replicate,Source_sample,Run,Lane,Tag,Note,Species
mxPCR8088785,P6_A1_pool1,1_1_PMe6,30406,1,1,"Plasm : Mosq 1:1,000,000 (1.5fg/ul | 1.5ng/ul)",Anopheles_coluzzii
mxPCR8088786,P6_B1_pool1,1_1_PMe5,30406,1,2,"Plasm : Mosq 1:100,000 (15fg/ul | 1.5ng/ul)",Anopheles_coluzzii
mxPCR8088787,P6_C1_pool1,1_1_PMe4,30406,1,3,"Plasm : Mosq 1:10,000 (150fg/ul | 1.5ng/ul)",Anopheles_coluzzii
mxPCR8088788,P6_D1_pool1,1_1_PMe3,30406,1,4,"Plasm : Mosq 1:1,000 (1.5pg/ul | 1.5ng/ul)",Anopheles_coluzzii
mxPCR8088789,P6_E1_pool1,1_1_PMe2,30406,1,5,Plasm : Mosq 1:100 (15pg/ul | 1.5ng/ul),Anopheles_coluzzii
mxPCR8088790,P6_F1_pool1,1_1_C1,30406,1,6,"L11, buffer A, MinElute 0.58ng/ul",Anopheles_coluzzii
mxPCR8088791,P6_G1_pool1,1_1_C2,30406,1,7,"E11, buffer A, MinElute 1.23ng/ul",Anopheles_coluzzii
mxPCR8088792,P6_H1_pool1,1_1_C3,30406,1,8,"E12, buffer A, MinElute 0.95ng/ul",Anopheles_coluzzii
mxPCR8088793,P6_A1_pool2,1_3_PMe6,30406,1,9,"Plasm : Mosq 1:1,000,000 (1.5fg/ul | 1.5ng/ul)",Anopheles_coluzzii
mxPCR8088794,P6_B1_pool2,1_3_PMe5,30406,1,10,"Plasm : Mosq 1:100,000 (15fg/ul | 1.5ng/ul)",Anopheles_coluzzii
mxPCR8088795,P6_C1_pool2,1_3_PMe4,30406,1,11,"Plasm : Mosq 1:10,000 (150fg/ul | 1.5ng/ul)",Anopheles_coluzzii
mxPCR8088796,P6_D1_pool2,1_3_PMe3,30406,1,12,"Plasm : Mosq 1:1,000 (1.5pg/ul | 1.5ng/ul)",Anopheles_coluzzii
mxPCR8088797,P6_E1_pool2,1_3_PMe2,30406,1,13,Plasm : Mosq 1:100 (15pg/ul | 1.5ng/ul),Anopheles_coluzzii
mxPCR8088798,P6_F1_pool2,1_3_C1,30406,1,14,"L11, buffer A, MinElute 0.58ng/ul",Anopheles_coluzzii
mxPCR8088799,P6_G1_pool2,1_3_C2,30406,1,15,"E11, buffer A, MinElute 1.23ng/ul",Anopheles_coluzzii
mxPCR8088800,P6_H1_pool2,1_3_C3,30406,1,16,"E12, buffer A, MinElute 0.95ng/ul",Anopheles_coluzzii
mxPCR8088801,P6_A1_pool3,1_9_PMe6,30406,1,17,"Plasm : Mosq 1:1,000,000 (1.5fg/ul | 1.5ng/ul)",Anopheles_coluzzii
mxPCR8088802,P6_B1_pool3,1_9_PMe5,30406,1,18,"Plasm : Mosq 1:100,000 (15fg/ul | 1.5ng/ul)",Anopheles_coluzzii
mxPCR8088803,P6_C1_pool3,1_9_PMe4,30406,1,19,"Plasm : Mosq 1:10,000 (150fg/ul | 1.5ng/ul)",Anopheles_coluzzii
mxPCR8088804,P6_D1_pool3,1_9_PMe3,30406,1,20,"Plasm : Mosq 1:1,000 (1.5pg/ul | 1.5ng/ul)",Anopheles_coluzzii
mxPCR8088805,P6_E1_pool3,1_9_PMe2,30406,1,21,Plasm : Mosq 1:100 (15pg/ul | 1.5ng/ul),Anopheles_coluzzii
mxPCR8088806,P6_F1_pool3,1_9_C1,30406,1,22,"L11, buffer A, MinElute 0.58ng/ul",Anopheles_coluzzii
mxPCR8088807,P6_G1_pool3,1_9_C2,30406,1,23,"E11, buffer A, MinElute 1.23ng/ul",Anopheles_coluzzii
mxPCR8088808,P6_H1_pool3,1_9_C3,30406,1,24,"E12, buffer A, MinElute 0.95ng/ul",Anopheles_coluzzii
mxPCR8088809,P6_A1_pool4,3_1_PMe6,30406,1,25,"Plasm : Mosq 1:1,000,000 (1.5fg/ul | 1.5ng/ul)",Anopheles_coluzzii
mxPCR8088810,P6_B1_pool4,3_1_PMe5,30406,1,26,"Plasm : Mosq 1:100,000 (15fg/ul | 1.5ng/ul)",Anopheles_coluzzii
mxPCR8088811,P6_C1_pool4,3_1_PMe4,30406,1,27,"Plasm : Mosq 1:10,000 (150fg/ul | 1.5ng/ul)",Anopheles_coluzzii
mxPCR8088812,P6_D1_pool4,3_1_PMe3,30406,1,28,"Plasm : Mosq 1:1,000 (1.5pg/ul | 1.5ng/ul)",Anopheles_coluzzii
mxPCR8088813,P6_E1_pool4,3_1_PMe2,30406,1,29,Plasm : Mosq 1:100 (15pg/ul | 1.5ng/ul),Anopheles_coluzzii
mxPCR8088814,P6_F1_pool4,3_1_C1,30406,1,30,"L11, buffer A, MinElute 0.58ng/ul",Anopheles_coluzzii
mxPCR8088815,P6_G1_pool4,3_1_C2,30406,1,31,"E11, buffer A, MinElute 1.23ng/ul",Anopheles_coluzzii
mxPCR8088816,P6_H1_pool4,3_1_C3,30406,1,32,"E12, buffer A, MinElute 0.95ng/ul",Anopheles_coluzzii
mxPCR8088817,P6_A1_pool5,3_3_PMe6,30406,1,33,"Plasm : Mosq 1:1,000,000 (1.5fg/ul | 1.5ng/ul)",Anopheles_coluzzii
mxPCR8088818,P6_B1_pool5,3_3_PMe5,30406,1,34,"Plasm : Mosq 1:100,000 (15fg/ul | 1.5ng/ul)",Anopheles_coluzzii
mxPCR8088819,P6_C1_pool5,3_3_PMe4,30406,1,35,"Plasm : Mosq 1:10,000 (150fg/ul | 1.5ng/ul)",Anopheles_coluzzii
mxPCR8088820,P6_D1_pool5,3_3_PMe3,30406,1,36,"Plasm : Mosq 1:1,000 (1.5pg/ul | 1.5ng/ul)",Anopheles_coluzzii
mxPCR8088821,P6_E1_pool5,3_3_PMe2,30406,1,37,Plasm : Mosq 1:100 (15pg/ul | 1.5ng/ul),Anopheles_coluzzii
mxPCR8088822,P6_F1_pool5,3_3_C1,30406,1,38,"L11, buffer A, MinElute 0.58ng/ul",Anopheles_coluzzii
mxPCR8088823,P6_G1_pool5,3_3_C2,30406,1,39,"E11, buffer A, MinElute 1.23ng/ul",Anopheles_coluzzii
mxPCR8088824,P6_H1_pool5,3_3_C3,30406,1,40,"E12, buffer A, MinElute 0.95ng/ul",Anopheles_coluzzii
mxPCR8088825,P6_A1_pool6,3_9_PMe6,30406,1,41,"Plasm : Mosq 1:1,000,000 (1.5fg/ul | 1.5ng/ul)",Anopheles_coluzzii
