Sanger_Sample_ID,Pool,Original_well,Tag1,Tag2,Run,Lane,Tag,Replicate,Source_sample,Species,Conc_ng_ul,Note
mxPCR8432506,1,A1,1,1,31658,1,1,1_un1,1_un1,Anopheles_stephensi,0.83,"stephensi (unfed) 1st lysis, 0.83ng/ul"
mxPCR8432507,1,B1,2,1,31658,1,2,1_un2,1_un2,Anopheles_stephensi,0.673,"stephensi (unfed) 1st lysis, 0.673ng/ul"
mxPCR8432508,1,C1,3,1,31658,1,3,1_un3,1_un3,Anopheles_stephensi,0.771,"stephensi (unfed) 1st lysis, 0.771ng/ul"
mxPCR8432509,1,D1,4,1,31658,1,4,1_un4,1_un4,Anopheles_stephensi,0.621,"stephensi (unfed) 1st lysis, 0.621ng/ul"
mxPCR8432510,1,E1,5,1,31658,1,5,1_un5,1_un5,Anopheles_stephensi,0.804,"stephensi (unfed) 1st lysis, 0.804ng/ul"
mxPCR8432511,1,F1,6,1,31658,1,6,1_un6,1_un6,Anopheles_stephensi,0.338,"stephensi (unfed) 1st lysis, 0.338ng/ul"
mxPCR8432512,1,G1,7,1,31658,1,7,1_un7,1_un7,Anopheles_stephensi,0.552,"stephensi (unfed) 1st lysis, 0.552ng/ul"
mxPCR8432513,1,H1,8,1,31658,1,8,1_un8,1_un8,Anopheles_stephensi,0.542,"stephensi (unfed) 1st lysis, 0.542ng/ul"
mxPCR8432514,1,A2,9,1,31658,1,9,1_0d1,1_0d1,Anopheles_stephensi,1.137,"stephensi (0 hours after feeding) 1st lysis, 1.137ng/ul"
mxPCR8432515,1,B2,10,1,31658,1,10,1_0d2,1_0d2,Anopheles_stephensi,1.122,"stephensi (0 hours after feeding) 1st lysis, 1.122ng/ul"
mxPCR8432516,1,C2,11,1,31658,1,11,1_0d3,1_0d3,Anopheles_stephensi,0.918,"stephensi (0 hours after feeding) 1st lysis, 0.918ng/ul"
mxPCR8432517,1,D2,12,1,31658,1,12,1_0d4,1_0d4,Anopheles_stephensi,0.863,"stephensi (0 hours after feeding) 1st lysis, 0.863ng/ul"
mxPCR8432518,1,E2,13,1,31658,1,13,1_0d5,1_0d5,Anopheles_stephensi,0.533,"stephensi (0 hours after feeding) 1st lysis, 0.533ng/ul"
mxPCR8432519,1,F2,14,1,31658,1,14,1_0d6,1_0d6,Anopheles_stephensi,0.709,"stephensi (0 hours after feeding) 1st lysis, 0.709ng/ul"
mxPCR8432520,1,G2,15,1,31658,1,15,1_0d7,1_0d7,Anopheles_stephensi,0.975,"stephensi (0 hours after feeding) 1st lysis, 0.975ng/ul"
mxPCR8432521,1,H2,16,1,31658,1,16,1_0d8,1_0d8,Anopheles_stephensi,0.968,"stephensi (0 hours after feeding) 1st lysis, 0.968ng/ul"
mxPCR8432522,1,A3,17,1,31658,1,17,1_1d1,1_1d1,Anopheles_stephensi,1.541,"stephensi (24 hours after feeding) 1st lysis, 1.541ng/ul"
mxPCR8432523,1,B3,18,1,31658,1,18,1_1d2,1_1d2,Anopheles_stephensi,1.396,"stephensi (24 hours after feeding) 1st lysis, 1.396ng/ul"
mxPCR8432524,1,C3,19,1,31658,1,19,1_1d3,1_1d3,Anopheles_stephensi,1.484,"stephensi (24 hours after feeding) 1st lysis, 1.484ng/ul"
mxPCR8432525,1,D3,20,1,31658,1,20,1_1d4,1_1d4,Anopheles_stephensi,1.574,"stephensi (24 hours after feeding) 1st lysis, 1.574ng/ul"
mxPCR8432526,1,E3,21,1,31658,1,21,1_1d5,1_1d5,Anopheles_stephensi,1.348,"stephensi (24 hours after feeding) 1st lysis, 1.348ng/ul"
mxPCR8432527,1,F3,22,1,31658,1,22,1_1d6,1_1d6,Anopheles_stephensi,1.565,"stephensi (24 hours after feeding) 1st lysis, 1.565ng/ul"
mxPCR8432528,1,G3,23,1,31658,1,23,1_1d7,1_1d7,Anopheles_stephensi,1.47,"stephensi (24 hours after feeding) 1st lysis, 1.47ng/ul"
mxPCR8432529,1,H3,24,1,31658,1,24,1_1d8,1_1d8,Anopheles_stephensi,2.107,"stephensi (24 hours after feeding) 1st lysis, 2.107ng/ul"
mxPCR8432530,1,A4,25,1,31658,1,25,1_3d1,1_3d1,Anopheles_stephensi,0.937,"stephensi (3 days after feeding) 1st lysis, 0.937ng/ul"
mxPCR8432531,1,B4,26,1,31658,1,26,1_3d2,1_3d2,Anopheles_stephensi,1.175,"stephensi (3 days after feeding) 1st lysis, 1.175ng/ul"
mxPCR8432532,1,C4,27,1,31658,1,27,1_3d3,1_3d3,Anopheles_stephensi,1.13,"stephensi (3 days after feeding) 1st lysis, 1.13ng/ul"
mxPCR8432533,1,D4,28,1,31658,1,28,1_3d4,1_3d4,Anopheles_stephensi,1.018,"stephensi (3 days after feeding) 1st lysis, 1.018ng/ul"
mxPCR8432534,1,E4,29,1,31658,1,29,1_3d5,1_3d5,Anopheles_stephensi,1.61,"stephensi (3 days after feeding) 1st lysis, 1.61ng/ul"
mxPCR8432535,1,F4,30,1,31658,1,30,1_3d6,1_3d6,Anopheles_stephensi,0.992,"stephensi (3 days after feeding) 1st lysis, 0.992ng/ul"
