s_Sample,External ID,Date of Collection,Location,Country,Latitude,Longitude,Collection Context,Collection Method,Collection Time,Specimen Sex,Specimen Type,Extraction Method,Sample Type,Species
VBS00001,1175-S01-0001,2013-07-24,Sayas,Cambodia,13.5476389,107.024555,outdoor,cow-baited tent,23,Female,Wild caught adult,,Genomic DNA,Anopheles_annularis
VBS00002,1175-S01-0002,2013-07-24,Sayas,Cambodia,13.5476389,107.024555,outdoor,cow-baited tent,24,Female,Wild caught adult,,Genomic DNA,Anopheles_annularis
VBS00003,1175-S01-0003,2013-07-23,Sayas,Cambodia,13.5476389,107.024555,outdoor,cow-baited tent,20,Female,Wild caught adult,,Genomic DNA,Anopheles_annularis
VBS00004,1175-S01-0004,2013-07-22,Sayas,Cambodia,13.5476389,107.024555,outdoor,cow-baited tent,3,Female,Wild caught adult,,Genomic DNA,Anopheles_annularis
VBS00005,1175-S01-0005,2013-07-21,Sayas,Cambodia,13.5476389,107.024555,outdoor,cow-baited tent,20,Female,Wild caught adult,,Genomic DNA,Anopheles_annularis
VBS00006,1175-S01-0006,2013-08-17,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,19,Female,Wild caught adult,,Genomic DNA,Anopheles_nivipes
VBS00007,1175-S01-0007,2013-08-16,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,1,Female,Wild caught adult,,WGA,Anopheles_nivipes
VBS00008,1175-S01-0008,2013-08-14,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,1,Female,Wild caught adult,,Genomic DNA,Anopheles_nivipes
VBS00009,1175-S01-0009,2013-08-17,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,20,Female,Wild caught adult,,Genomic DNA,Anopheles_nivipes
VBS00010,1175-S01-0010,2013-08-17,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,21,Female,Wild caught adult,,Genomic DNA,Anopheles_nivipes
VBS00011,1175-S01-0011,2014-06-13,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,21,Female,Wild caught adult,,Genomic DNA,Anopheles_pallidus
VBS00012,1175-S01-0012,2014-06-13,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,22,Female,Wild caught adult,,Genomic DNA,Anopheles_pallidus
VBS00013,1175-S01-0013,2014-06-13,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,20,Female,Wild caught adult,,Genomic DNA,Anopheles_pallidus
VBS00014,1175-S01-0014,2014-05-13,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,20,Female,Wild caught adult,,Genomic DNA,Anopheles_pallidus
VBS00015,1175-S01-0015,2014-05-13,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,23,Female,Wild caught adult,,Genomic DNA,Anopheles_pallidus
VBS00016,1175-S01-0016,2013-08-17,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,20,Female,Wild caught adult,,WGA,Anopheles_philippinensis
VBS00017,1175-S01-0017,2013-08-16,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,24,Female,Wild caught adult,,Genomic DNA,Anopheles_philippinensis
VBS00018,1175-S01-0018,2013-08-17,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,4,Female,Wild caught adult,,Genomic DNA,Anopheles_philippinensis
VBS00019,1175-S01-0019,2013-08-16,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,23,Female,Wild caught adult,,WGA,Anopheles_philippinensis
VBS00020,1175-S01-0020,2013-08-17,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,20,Female,Wild caught adult,,Genomic DNA,Anopheles_philippinensis
VBS00021,1175-S01-0021,2010-01-17,Thmar Da,Cambodia,12.155,102.735,outdoor,CDC-light trap,,Female,Wild caught adult,,Genomic DNA,Anopheles_barbirostris
VBS00022,1175-S01-0022,2010-01-17,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,Anopheles_barbirostris
VBS00023,1175-S01-0023,2009-12-07,Thmar Da,Cambodia,12.155,102.735,indoor,CDC-light trap,,Female,Wild caught adult,,Genomic DNA,Anopheles_barbirostris
VBS00024,1175-S01-0024,2009-12-07,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,Anopheles_barbirostris
VBS00025,1175-S01-0025,2010-01-17,Thmar Da,Cambodia,12.155,102.735,indoor,CDC-light trap,,Female,Wild caught adult,,Genomic DNA,Anopheles_barbirostris
