,AOcol,BFcol,GHcol,CIcol,GNcol,GW,GM,GNgam,BFgam,GHgam,CMgam,UGgam,GAgam,GQgam,FRgam,KE
AOcol,0,0.169974255,0.103882907,0.113807832,0.071522189,0.152428852,0.195491106,0.174494423,0.229958841,0.180025705,0.167663494,0.191649664,0.208339781,0.153542826,0.264317804,0.23853407
BFcol,0.169974255,0,0.037660094,0.042946565,0.019222393,0.099265674,0.100261786,0.134652746,0.066625186,0.062145675,0.132324089,0.110990315,0.160508792,0.091008569,0.194387938,0.135601196
GHcol,0.103882907,0.037660094,0,0.007582456,0.015521935,0.0438118,0.076439781,0.082968585,0.104979794,0.063839661,0.079023415,0.076885063,0.118230951,0.083862047,0.159505603,0.130312038
CIcol,0.113807832,0.042946565,0.007582456,0,0.016282919,0.051982527,0.07619742,0.085361461,0.106109182,0.066836243,0.084002659,0.075859963,0.132844524,0.077390431,0.186483655,0.128943736
GNcol,0.071522189,0.019222393,0.015521935,0.016282919,0,0.064028556,0.072002879,0.073456976,0.076455059,0.045578835,0.074340388,0.091889846,0.092403766,0.041499192,0.120244969,0.032140983
GW,0.152428852,0.099265674,0.0438118,0.051982527,0.064028556,0,0.028193101,0.054488063,0.086109459,0.057609697,0.054458781,0.055644788,0.092273098,0.061741837,0.165558048,0.147726352
GM,0.195491106,0.100261786,0.076439781,0.07619742,0.072002879,0.028193101,0,0.069860734,0.059730323,0.058468818,0.063279904,0.046730212,0.122673841,0.078305229,0.150011153,0.159118385
GNgam,0.174494423,0.134652746,0.082968585,0.085361461,0.073456976,0.054488063,0.069860734,0,0.024290213,0.005328577,0.005734275,0.0296484,0.053290474,0.015480127,0.158556166,0.153664612
BFgam,0.229958841,0.066625186,0.104979794,0.106109182,0.076455059,0.086109459,0.059730323,0.024290213,0,0.01525706,0.02977617,0.029326011,0.114294264,0.044372867,0.167629448,0.16669816
GHgam,0.180025705,0.062145675,0.063839661,0.066836243,0.045578835,0.057609697,0.058468818,0.005328577,0.01525706,0,0.01480027,0.028139362,0.063613812,0.009970774,0.103778973,0.140971182
CMgam,0.167663494,0.132324089,0.079023415,0.084002659,0.074340388,0.054458781,0.063279904,0.005734275,0.02977617,0.01480027,0,0.024820917,0.059113706,0.025178757,0.167203883,0.163803762
UGgam,0.191649664,0.110990315,0.076885063,0.075859963,0.091889846,0.055644788,0.046730212,0.0296484,0.029326011,0.028139362,0.024820917,0,0.08841673,0.043145349,0.178600523,0.16522161
GAgam,0.208339781,0.160508792,0.118230951,0.132844524,0.092403766,0.092273098,0.122673841,0.053290474,0.114294264,0.063613812,0.059113706,0.08841673,0,0.050494997,0.190931628,0.178600048
GQgam,0.153542826,0.091008569,0.083862047,0.077390431,0.041499192,0.061741837,0.078305229,0.015480127,0.044372867,0.009970774,0.025178757,0.043145349,0.050494997,0,0.151191733,0.13744129
FRgam,0.264317804,0.194387938,0.159505603,0.186483655,0.120244969,0.165558048,0.150011153,0.158556166,0.167629448,0.103778973,0.167203883,0.178600523,0.190931628,0.151191733,0,0.213358517
KE,0.23853407,0.135601196,0.130312038,0.128943736,0.032140983,0.147726352,0.159118385,0.153664612,0.16669816,0.140971182,0.163803762,0.16522161,0.178600048,0.13744129,0.213358517,0
