,coi_len,coi_var,coi_nseq,its2_len,its2_var,its2_nseq,total_ampseq_len,total_ampseq_var,total_ampseq_nsamples
Anopheles_aconitus,619,1,2,475,1,2,7712.0,45,2
Anopheles_annularis,619,6,3,430,2,4,9068.0,245,4
Anopheles_balabacensis,619,0,1,458,0,1,8047.0,28,1
Anopheles_barbirostris,619,10,4,1024,3,3,8054.0,255,5
Anopheles_brohieri,616,1,3,470,0,4,9739.0,62,4
Anopheles_carnevalei,620,5,5,480,18,5,8773.0,203,5
Anopheles_coluzzii,616,8,3,526,8,3,9336.0,278,3
Anopheles_coustani,616,11,5,586,52,5,8716.0,335,5
Anopheles_demeilloni,616,1,2,469,1,3,9286.0,55,3
Anopheles_dirus_A,619,1,2,813,3,3,8218.0,100,3
Anopheles_dureni,616,0,4,385,2,3,7196.0,26,4
Anopheles_funestus,616,3,4,803,0,2,9552.0,142,4
Anopheles_gabonensis,616,0,1,461,0,1,8577.0,50,1
Anopheles_gambiae,402,0,2,527,4,5,9556.0,382,5
Anopheles_hancocki,616,0,2,469,0,2,9385.0,35,2
Anopheles_hyrcanus,619,40,5,615,148,4,8389.0,635,5
Anopheles_implexus,616,0,1,534,0,1,7659.0,54,1
Anopheles_jamesii,619,2,3,474,3,3,9578.0,142,3
Anopheles_jebudensis,213,0,1,502,0,1,9154.0,25,1
Anopheles_maculatus_A,619,1,2,426,1,2,8563.0,142,2
Anopheles_maculipalpis,616,1,2,449,0,2,8998.0,69,2
Anopheles_marshallii,0,0,0,0,0,0,,0,0
Anopheles_minimus_A,576,16,2,467,1,2,9018.0,104,2
Anopheles_moucheti,616,1,4,491,1,5,9283.0,82,5
Anopheles_nili,616,23,5,472,48,5,8401.0,353,5
Anopheles_nili_ss,343,0,1,450,0,1,4087.0,3,1
Anopheles_paludis,616,36,4,605,147,2,5490.0,222,4
Anopheles_rampae,619,32,4,421,0,4,9396.0,335,4
Anopheles_rhodesiensis,616,1,4,496,0,3,9658.0,141,4
Anopheles_sundaicus,619,18,4,561,0,4,9303.0,90,4
Anopheles_tenebrosus,616,11,5,585,56,5,8506.0,356,5
Anopheles_tessellatus,452,0,1,541,3,2,8776.0,306,2
Anopheles_theileri,616,0,4,501,35,4,9729.0,197,4
Anopheles_vagus,619,22,4,656,0,4,9104.0,122,4
Anopheles_vinckei,616,11,5,385,1,2,9137.0,264,5
Anopheles_ziemanni,616,9,5,586,55,5,7824.0,305,5
